theta_2=0.010000	MC_ns: 113.086544	MC: 114.722907	Data: 112.000003
theta_2=0.030000	MC_ns: 89.522441	MC: 91.158805	Data: 71.000003
theta_2=0.050000	MC_ns: 59.061616	MC: 60.788889	Data: 66.000001
theta_2=0.070000	MC_ns: 54.084109	MC: 56.356836	Data: 57.999999
theta_2=0.090000	MC_ns: 47.167963	MC: 48.440690	Data: 42.999999
theta_2=0.110000	MC_ns: 29.969780	MC: 31.424326	Data: 30.000000
theta_2=0.130000	MC_ns: 17.368014	MC: 19.368014	Data: 22.000000
theta_2=0.150000	MC_ns: 22.036133	MC: 23.763406	Data: 20.000001
theta_2=0.170000	MC_ns: 11.944662	MC: 13.671935	Data: 20.000001
theta_2=0.190000	MC_ns: 15.190008	MC: 17.099099	Data: 18.000001
theta_2=0.210000	MC_ns: 8.604273	MC: 11.422455	Data: 15.000000
theta_2=0.230000	MC_ns: 7.160745	MC: 9.160745	Data: 10.000000
theta_2=0.250000	MC_ns: 6.130118	MC: 7.311936	Data: 14.000000
theta_2=0.270000	MC_ns: 5.216281	MC: 7.034463	Data: 10.000000
theta_2=0.290000	MC_ns: 4.276270	MC: 6.185361	Data: 6.000000
theta_2=0.310000	MC_ns: 3.638381	MC: 5.002018	Data: 6.000000
theta_2=0.330000	MC_ns: 1.498823	MC: 2.862460	Data: 8.000000
theta_2=0.350000	MC_ns: 2.651960	MC: 5.015596	Data: 8.000000
theta_2=0.370000	MC_ns: 2.441061	MC: 4.350152	Data: 6.000000
theta_2=0.390000	MC_ns: 0.976412	MC: 2.612775	Data: 2.000000
theta_2=0.410000	MC_ns: 1.721915	MC: 2.903733	Data: 3.000000
theta_2=0.430000	MC_ns: 0.786020	MC: 2.240565	Data: 4.000000
theta_2=0.450000	MC_ns: 1.363542	MC: 2.818087	Data: 3.000000
theta_2=0.470000	MC_ns: 0.649886	MC: 1.377159	Data: 3.000000
theta_2=0.490000	MC_ns: 0.940861	MC: 2.122679	Data: 4.000000
theta_2=0.510000	MC_ns: 0.497239	MC: 2.860875	Data: 6.000000
theta_2=0.530000	MC_ns: 0.353329	MC: 2.171511	Data: 1.000000
theta_2=0.550000	MC_ns: 0.818688	MC: 1.909597	Data: 6.000000
theta_2=0.570000	MC_ns: 0.291279	MC: 2.473097	Data: 4.000000
theta_2=0.590000	MC_ns: 0.323122	MC: 2.050395	Data: 2.000000
theta_2=0.610000	MC_ns: 0.483267	MC: 2.028722	Data: 7.000000
theta_2=0.630000	MC_ns: 0.216730	MC: 2.034912	Data: 4.000000
theta_2=0.650000	MC_ns: 0.224558	MC: 1.860922	Data: 4.000000
theta_2=0.670000	MC_ns: 0.236326	MC: 3.054508	Data: 2.000000
theta_2=0.690000	MC_ns: 0.365984	MC: 2.365984	Data: 3.000000
theta_2=0.710000	MC_ns: 0.172832	MC: 1.718286	Data: 3.000000
theta_2=0.730000	MC_ns: 0.146568	MC: 2.055659	Data: 4.000000
theta_2=0.750000	MC_ns: 0.134897	MC: 1.589442	Data: 3.000000
theta_2=0.770000	MC_ns: 0.133064	MC: 1.496701	Data: 1.000000
theta_2=0.790000	MC_ns: 0.168523	MC: 1.532159	Data: 2.000000
theta_2=0.810000	MC_ns: 0.270305	MC: 2.088487	Data: 4.000000
theta_2=0.830000	MC_ns: 0.084912	MC: 2.084912	Data: 3.000000
theta_2=0.850000	MC_ns: 0.091507	MC: 2.636962	Data: 2.000000
theta_2=0.870000	MC_ns: 0.072502	MC: 1.799775	Data: 2.000000
theta_2=0.890000	MC_ns: 0.080873	MC: 1.989964	Data: 3.000000
theta_2=0.910000	MC_ns: 0.094428	MC: 1.367156	Data: 5.000000
theta_2=0.930000	MC_ns: 0.063249	MC: 1.154158	Data: 0.000000
theta_2=0.950000	MC_ns: 0.074681	MC: 2.074681	Data: 3.000000
theta_2=0.970000	MC_ns: 0.068649	MC: 1.614104	Data: 0.000000
theta_2=0.990000	MC_ns: 0.093617	MC: 1.548163	Data: 4.000000
