theta_2=0.010000	MC_ns: 17.930606	MC: 18.294242	Data: 17.000000
theta_2=0.030000	MC_ns: 8.637333	MC: 8.637333	Data: 10.000000
theta_2=0.050000	MC_ns: 3.937549	MC: 3.937549	Data: 7.000000
theta_2=0.070000	MC_ns: 2.442871	MC: 2.533781	Data: 3.000000
theta_2=0.090000	MC_ns: 1.500423	MC: 1.500423	Data: 1.000000
theta_2=0.110000	MC_ns: 0.782237	MC: 0.873146	Data: 4.000000
theta_2=0.130000	MC_ns: 0.360343	MC: 0.360343	Data: 2.000000
theta_2=0.150000	MC_ns: 0.425865	MC: 0.516774	Data: 0.000000
theta_2=0.170000	MC_ns: 0.208045	MC: 0.208045	Data: 1.000000
theta_2=0.190000	MC_ns: 0.229731	MC: 0.320640	Data: 0.000000
theta_2=0.210000	MC_ns: 0.121838	MC: 0.121838	Data: 0.000000
theta_2=0.230000	MC_ns: 0.097396	MC: 0.097396	Data: 1.000000
theta_2=0.250000	MC_ns: 0.095502	MC: 0.186411	Data: 0.000000
theta_2=0.270000	MC_ns: 0.070653	MC: 0.070653	Data: 0.000000
theta_2=0.290000	MC_ns: 0.058189	MC: 0.149098	Data: 0.000000
theta_2=0.310000	MC_ns: 0.049292	MC: 0.049292	Data: 0.000000
theta_2=0.330000	MC_ns: 0.016352	MC: 0.016352	Data: 0.000000
theta_2=0.350000	MC_ns: 0.035946	MC: 0.035946	Data: 0.000000
theta_2=0.370000	MC_ns: 0.036207	MC: 0.036207	Data: 0.000000
theta_2=0.390000	MC_ns: 0.011385	MC: 0.193203	Data: 1.000000
theta_2=0.410000	MC_ns: 0.025836	MC: 0.207654	Data: 1.000000
theta_2=0.430000	MC_ns: 0.013504	MC: 0.104413	Data: 1.000000
theta_2=0.450000	MC_ns: 0.026357	MC: 0.026357	Data: 0.000000
theta_2=0.470000	MC_ns: 0.011799	MC: 0.102708	Data: 0.000000
theta_2=0.490000	MC_ns: 0.026160	MC: 0.026160	Data: 0.000000
theta_2=0.510000	MC_ns: 0.011087	MC: 0.192905	Data: 0.000000
theta_2=0.530000	MC_ns: 0.012071	MC: 0.102980	Data: 0.000000
theta_2=0.550000	MC_ns: 0.019649	MC: 0.201468	Data: 0.000000
theta_2=0.570000	MC_ns: 0.011882	MC: 0.011882	Data: 0.000000
theta_2=0.590000	MC_ns: 0.006431	MC: 0.097340	Data: 1.000000
theta_2=0.610000	MC_ns: 0.010901	MC: 0.101810	Data: 0.000000
theta_2=0.630000	MC_ns: 0.007347	MC: 0.189165	Data: 0.000000
theta_2=0.650000	MC_ns: 0.008904	MC: 0.190722	Data: 1.000000
theta_2=0.670000	MC_ns: 0.008053	MC: 0.008053	Data: 0.000000
theta_2=0.690000	MC_ns: 0.015169	MC: 0.106078	Data: 0.000000
theta_2=0.710000	MC_ns: 0.006418	MC: 0.188236	Data: 0.000000
theta_2=0.730000	MC_ns: 0.004389	MC: 0.004389	Data: 0.000000
theta_2=0.750000	MC_ns: 0.004113	MC: 0.095022	Data: 0.000000
theta_2=0.770000	MC_ns: 0.006600	MC: 0.006600	Data: 0.000000
theta_2=0.790000	MC_ns: 0.005009	MC: 0.095918	Data: 0.000000
theta_2=0.810000	MC_ns: 0.010032	MC: 0.010032	Data: 0.000000
theta_2=0.830000	MC_ns: 0.004902	MC: 0.004902	Data: 0.000000
theta_2=0.850000	MC_ns: 0.006048	MC: 0.006048	Data: 0.000000
theta_2=0.870000	MC_ns: 0.006327	MC: 0.279054	Data: 0.000000
theta_2=0.890000	MC_ns: 0.003014	MC: 0.093923	Data: 0.000000
theta_2=0.910000	MC_ns: 0.004345	MC: 0.095254	Data: 0.000000
theta_2=0.930000	MC_ns: 0.005895	MC: 0.096804	Data: 0.000000
theta_2=0.950000	MC_ns: 0.002438	MC: 0.002438	Data: 0.000000
theta_2=0.970000	MC_ns: 0.004509	MC: 0.095418	Data: 0.000000
theta_2=0.990000	MC_ns: 0.001831	MC: 0.001831	Data: 0.000000
