theta_2=0.025000	MC: 132.259922	Data: 128.000001
theta_2=0.075000	MC: 61.089287	Data: 63.000001
theta_2=0.125000	MC: 26.116799	Data: 24.999999
theta_2=0.175000	MC: 14.566634	Data: 14.000000
theta_2=0.225000	MC: 8.178219	Data: 9.000000
theta_2=0.275000	MC: 6.455527	Data: 8.000000
theta_2=0.325000	MC: 4.351082	Data: 8.000000
theta_2=0.375000	MC: 3.436220	Data: 4.000000
theta_2=0.425000	MC: 2.998349	Data: 3.000000
theta_2=0.475000	MC: 2.585488	Data: 1.000000
theta_2=0.525000	MC: 1.913674	Data: 2.000000
theta_2=0.575000	MC: 3.204815	Data: 3.000000
theta_2=0.625000	MC: 1.950165	Data: 1.000000
theta_2=0.675000	MC: 1.822676	Data: 3.000000
theta_2=0.725000	MC: 1.198449	Data: 1.000000
theta_2=0.775000	MC: 1.743707	Data: 3.000000
theta_2=0.825000	MC: 1.792021	Data: 1.000000
theta_2=0.875000	MC: 2.221100	Data: 1.000000
theta_2=0.925000	MC: 1.852009	Data: 5.000000
theta_2=0.975000	MC: 1.558075	Data: 3.000000
