theta_2=0.025000	MC: 237.475792	Data: 216.999997
theta_2=0.075000	MC: 143.546956	Data: 133.000001
theta_2=0.125000	MC: 76.779274	Data: 62.000000
theta_2=0.175000	MC: 48.192852	Data: 48.000001
theta_2=0.225000	MC: 31.973173	Data: 33.000000
theta_2=0.275000	MC: 24.057930	Data: 22.000000
theta_2=0.325000	MC: 15.668272	Data: 17.000000
theta_2=0.375000	MC: 14.003125	Data: 13.000000
theta_2=0.425000	MC: 10.864042	Data: 9.000000
theta_2=0.475000	MC: 8.326010	Data: 8.000000
theta_2=0.525000	MC: 8.772422	Data: 11.000000
theta_2=0.575000	MC: 7.045569	Data: 8.000000
theta_2=0.625000	MC: 7.379515	Data: 14.000000
theta_2=0.675000	MC: 7.844460	Data: 6.000000
theta_2=0.725000	MC: 6.107083	Data: 8.000000
theta_2=0.775000	MC: 4.396690	Data: 5.000000
theta_2=0.825000	MC: 5.809637	Data: 8.000000
theta_2=0.875000	MC: 6.551708	Data: 6.000000
theta_2=0.925000	MC: 3.928691	Data: 8.000000
theta_2=0.975000	MC: 5.092549	Data: 4.000000
