Experiment name: EXP_0_1
Epoch [1/200], Average Loss: 0.067144, Current_LR:0.0005
Epoch [2/200], Average Loss: 0.055171, Current_LR:0.0005
Epoch [3/200], Average Loss: 0.037183, Current_LR:0.0005
Epoch [4/200], Average Loss: 0.023619, Current_LR:0.0005
Epoch [5/200], Average Loss: 0.019194, Current_LR:0.0005
Epoch [6/200], Average Loss: 0.015958, Current_LR:0.0005
Epoch [7/200], Average Loss: 0.014510, Current_LR:0.0005
Epoch [8/200], Average Loss: 0.013179, Current_LR:0.0005
Epoch [9/200], Average Loss: 0.011758, Current_LR:0.0005
Epoch [10/200], Average Loss: 0.010140, Current_LR:0.0005
Epoch [11/200], Average Loss: 0.009227, Current_LR:0.0005
Epoch [12/200], Average Loss: 0.008747, Current_LR:0.0005
Epoch [13/200], Average Loss: 0.007766, Current_LR:0.0005
Epoch [14/200], Average Loss: 0.007096, Current_LR:0.0005
Epoch [15/200], Average Loss: 0.007050, Current_LR:0.0005
Epoch [16/200], Average Loss: 0.006243, Current_LR:0.0005
Epoch [17/200], Average Loss: 0.006159, Current_LR:0.0005
Epoch [18/200], Average Loss: 0.005819, Current_LR:0.0005
Epoch [19/200], Average Loss: 0.005885, Current_LR:0.0005
Epoch [20/200], Average Loss: 0.005674, Current_LR:0.0005
Epoch [21/200], Average Loss: 0.005649, Current_LR:0.0005
Epoch [22/200], Average Loss: 0.005218, Current_LR:0.0005
Epoch [23/200], Average Loss: 0.005265, Current_LR:0.0005
Epoch [24/200], Average Loss: 0.005054, Current_LR:0.0005
Epoch [25/200], Average Loss: 0.004641, Current_LR:0.0005
Epoch [26/200], Average Loss: 0.004747, Current_LR:0.0005
Epoch [27/200], Average Loss: 0.004784, Current_LR:0.0005
Epoch [28/200], Average Loss: 0.004364, Current_LR:0.0005
Epoch [29/200], Average Loss: 0.004497, Current_LR:0.0005
Epoch [30/200], Average Loss: 0.004268, Current_LR:0.0005
Epoch [31/200], Average Loss: 0.004387, Current_LR:0.0005
Epoch [32/200], Average Loss: 0.004031, Current_LR:0.0005
Epoch [33/200], Average Loss: 0.004107, Current_LR:0.0005
Epoch [34/200], Average Loss: 0.004193, Current_LR:0.0005
Epoch [35/200], Average Loss: 0.004134, Current_LR:0.0005
Epoch [36/200], Average Loss: 0.003816, Current_LR:0.0005
Epoch [37/200], Average Loss: 0.003987, Current_LR:0.0005
Epoch [38/200], Average Loss: 0.003817, Current_LR:0.0005
Epoch [39/200], Average Loss: 0.003628, Current_LR:0.0005
Epoch [40/200], Average Loss: 0.003974, Current_LR:0.0005
Epoch [41/200], Average Loss: 0.003547, Current_LR:0.0005
Epoch [42/200], Average Loss: 0.003565, Current_LR:0.0005
Epoch [43/200], Average Loss: 0.003429, Current_LR:0.0004
Epoch [44/200], Average Loss: 0.003425, Current_LR:0.0004
Epoch [45/200], Average Loss: 0.003383, Current_LR:0.0004
Epoch [46/200], Average Loss: 0.003319, Current_LR:0.0004
Epoch [47/200], Average Loss: 0.003397, Current_LR:0.0004
Epoch [48/200], Average Loss: 0.003194, Current_LR:0.0004
Epoch [49/200], Average Loss: 0.003068, Current_LR:0.0004
Epoch [50/200], Average Loss: 0.003000, Current_LR:0.0004
Epoch [51/200], Average Loss: 0.003061, Current_LR:0.0004
Epoch [52/200], Average Loss: 0.002950, Current_LR:0.0004
Epoch [53/200], Average Loss: 0.003119, Current_LR:0.0004
Epoch [54/200], Average Loss: 0.002969, Current_LR:0.0004
Epoch [55/200], Average Loss: 0.002865, Current_LR:0.0004
Epoch [56/200], Average Loss: 0.002793, Current_LR:0.0004
Epoch [57/200], Average Loss: 0.002724, Current_LR:0.0004
Epoch [58/200], Average Loss: 0.002696, Current_LR:0.0004
Epoch [59/200], Average Loss: 0.002650, Current_LR:0.0004
Epoch [60/200], Average Loss: 0.002723, Current_LR:0.0004
Epoch [61/200], Average Loss: 0.002733, Current_LR:0.0004
Epoch [62/200], Average Loss: 0.002614, Current_LR:0.0004
Epoch [63/200], Average Loss: 0.002568, Current_LR:0.0004
Epoch [64/200], Average Loss: 0.002580, Current_LR:0.0004
Epoch [65/200], Average Loss: 0.002469, Current_LR:0.0004
Epoch [66/200], Average Loss: 0.002441, Current_LR:0.0004
Epoch [67/200], Average Loss: 0.002519, Current_LR:0.0004
Epoch [68/200], Average Loss: 0.002503, Current_LR:0.0004
Epoch [69/200], Average Loss: 0.002419, Current_LR:0.0004
Epoch [70/200], Average Loss: 0.002308, Current_LR:0.0004
Epoch [71/200], Average Loss: 0.002344, Current_LR:0.0004
Epoch [72/200], Average Loss: 0.002309, Current_LR:0.0004
Epoch [73/200], Average Loss: 0.002267, Current_LR:0.0004
Epoch [74/200], Average Loss: 0.002245, Current_LR:0.0004
Epoch [75/200], Average Loss: 0.002209, Current_LR:0.0004
Epoch [76/200], Average Loss: 0.002176, Current_LR:0.0003
Epoch [77/200], Average Loss: 0.002193, Current_LR:0.0003
Epoch [78/200], Average Loss: 0.002196, Current_LR:0.0003
Epoch [79/200], Average Loss: 0.002233, Current_LR:0.0003
Epoch [80/200], Average Loss: 0.002104, Current_LR:0.0003
Epoch [81/200], Average Loss: 0.002122, Current_LR:0.0003
Epoch [82/200], Average Loss: 0.002140, Current_LR:0.0003
Epoch [83/200], Average Loss: 0.002067, Current_LR:0.0003
Epoch [84/200], Average Loss: 0.002041, Current_LR:0.0003
Epoch [85/200], Average Loss: 0.002045, Current_LR:0.0003
Epoch [86/200], Average Loss: 0.002058, Current_LR:0.0003
Epoch [87/200], Average Loss: 0.001970, Current_LR:0.0003
Epoch [88/200], Average Loss: 0.001982, Current_LR:0.0003
Epoch [89/200], Average Loss: 0.001940, Current_LR:0.0003
Epoch [90/200], Average Loss: 0.001999, Current_LR:0.0003
Epoch [91/200], Average Loss: 0.001958, Current_LR:0.0003
Epoch [92/200], Average Loss: 0.001970, Current_LR:0.0003
Epoch [93/200], Average Loss: 0.001912, Current_LR:0.0003
Epoch [94/200], Average Loss: 0.001899, Current_LR:0.0003
Epoch [95/200], Average Loss: 0.001874, Current_LR:0.0003
Epoch [96/200], Average Loss: 0.001865, Current_LR:0.0003
Epoch [97/200], Average Loss: 0.001875, Current_LR:0.0003
Epoch [98/200], Average Loss: 0.001871, Current_LR:0.0003
Epoch [99/200], Average Loss: 0.001783, Current_LR:0.0003
Epoch [100/200], Average Loss: 0.001852, Current_LR:0.0003
Epoch [101/200], Average Loss: 0.001843, Current_LR:0.0003
Epoch [102/200], Average Loss: 0.001800, Current_LR:0.0002
Epoch [103/200], Average Loss: 0.001793, Current_LR:0.0002
Epoch [104/200], Average Loss: 0.001752, Current_LR:0.0002
Epoch [105/200], Average Loss: 0.001754, Current_LR:0.0002
Epoch [106/200], Average Loss: 0.001710, Current_LR:0.0002
Epoch [107/200], Average Loss: 0.001688, Current_LR:0.0002
Epoch [108/200], Average Loss: 0.001704, Current_LR:0.0002
Epoch [109/200], Average Loss: 0.001710, Current_LR:0.0002
Epoch [110/200], Average Loss: 0.001699, Current_LR:0.0002
Epoch [111/200], Average Loss: 0.001656, Current_LR:0.0002
Epoch [112/200], Average Loss: 0.001662, Current_LR:0.0002
Epoch [113/200], Average Loss: 0.001638, Current_LR:0.0002
Epoch [114/200], Average Loss: 0.001613, Current_LR:0.0002
Epoch [115/200], Average Loss: 0.001628, Current_LR:0.0002
Epoch [116/200], Average Loss: 0.001602, Current_LR:0.0002
Epoch [117/200], Average Loss: 0.001594, Current_LR:0.0002
Epoch [118/200], Average Loss: 0.001610, Current_LR:0.0002
Epoch [119/200], Average Loss: 0.001595, Current_LR:0.0002
Epoch [120/200], Average Loss: 0.001575, Current_LR:0.0002
Epoch [121/200], Average Loss: 0.001565, Current_LR:0.0002
Epoch [122/200], Average Loss: 0.001538, Current_LR:0.0002
Epoch [123/200], Average Loss: 0.001562, Current_LR:0.0002
Epoch [124/200], Average Loss: 0.001526, Current_LR:0.0002
Epoch [125/200], Average Loss: 0.001522, Current_LR:0.0002
Epoch [126/200], Average Loss: 0.001532, Current_LR:0.0002
Epoch [127/200], Average Loss: 0.001523, Current_LR:0.0002
Epoch [128/200], Average Loss: 0.001513, Current_LR:0.0002
Epoch [129/200], Average Loss: 0.001498, Current_LR:0.0001
Epoch [130/200], Average Loss: 0.001482, Current_LR:0.0001
Epoch [131/200], Average Loss: 0.001480, Current_LR:0.0001
Epoch [132/200], Average Loss: 0.001462, Current_LR:0.0001
Epoch [133/200], Average Loss: 0.001467, Current_LR:0.0001
Epoch [134/200], Average Loss: 0.001449, Current_LR:0.0001
Epoch [135/200], Average Loss: 0.001442, Current_LR:0.0001
Epoch [136/200], Average Loss: 0.001451, Current_LR:0.0001
