,N,SSIM,MSE
0,4000,0.9476496438583165,0.0006208465783856809
1,4001,0.9458353864036558,0.000697451934684068
2,4002,0.9466107568491597,0.0006595983286388218
3,4003,0.9469311366964495,0.000624224659986794
4,4004,0.9453977409933434,0.0006858249544166028
5,4005,0.946788829093305,0.0006131262052804232
6,4006,0.9457482001900641,0.0006482098251581192
7,4007,0.9455000595784065,0.0006474156980402768
8,4008,0.9447327982358988,0.000649446970783174
9,4009,0.9435883671870253,0.0006887788767926395
10,4010,0.9436091195348449,0.0006831310456618667
11,4011,0.943648838049396,0.0006645488319918513
12,4012,0.9437804793525018,0.0006614315789192915
13,4013,0.9434528703436164,0.0006833356455899775
14,4014,0.9441361032051926,0.0006312560872174799
15,4015,0.9442257895461016,0.000645955209620297
16,4016,0.9481702529192291,0.0005124146700836718
17,4017,0.9507369097723688,0.0004200392286293209
18,4018,0.9521653591921752,0.0003772137279156595
19,4019,0.953397816341912,0.0003395563689991832
20,4020,0.9536799523690093,0.0003316680376883596
21,4021,0.9537958374101287,0.0003436948463786393
22,4022,0.9541473148515295,0.0003370530321262777
23,4023,0.9541232868792773,0.0003332392952870578
24,4024,0.9543126787118328,0.0003487090580165386
25,4025,0.9544776986760819,0.0003305172431282699
26,4026,0.9546977062438067,0.0003108883975073695
27,4027,0.9548053324134463,0.0003199538041371852
28,4028,0.954739036722806,0.000312323565594852
29,4029,0.9546864479299644,0.0003037368878722191
30,4030,0.9546524930852487,0.0003261037636548281
31,4031,0.954797812801348,0.0003289806772954762
32,4032,0.9544749854313241,0.0003520722093526274
33,4033,0.9545115742895495,0.00039949148776941
34,4034,0.9546623944363201,0.0004312569508329034
35,4035,0.954771090730388,0.0005034488276578486
36,4036,0.954395638646153,0.0006176636670716107
37,4037,0.954310440438084,0.0007339838775806129
38,4038,0.9543038951801184,0.0007511440780945122
39,4039,0.9542579930681145,0.0008345160749740899
40,4040,0.9532545131802143,0.0007019254262559116
41,4041,0.9521701010892674,0.0005475123762153089
42,4042,0.9502034045433492,0.0004002442001365125
43,4043,0.9481337172342417,0.0002691310073714703
44,4044,0.9466667379648318,0.0002484996803104877
45,4045,0.9469413524976631,0.0002581160806585103
46,4046,0.946925512471208,0.0002704498183447868
47,4047,0.9473354857363903,0.000287560309516266
48,4048,0.9470923816931885,0.000293846387648955
49,4049,0.9466410964302913,0.0002948169421870261
50,4050,0.9461624060938416,0.0002980815479531884
51,4051,0.9463689733107414,0.0003151488490402699
52,4052,0.9464805371552761,0.0003346913727000356
53,4053,0.9461577890805742,0.0003404809103813022
54,4054,0.9453088028541146,0.000335453572915867
55,4055,0.9447390680005876,0.0003278730728197843
56,4056,0.9442729551612418,0.000328458787407726
57,4057,0.9435259421540986,0.0003184679080732167
58,4058,0.9429838886723279,0.0003149742551613599
59,4059,0.9422726250085675,0.0003131410921923816
60,4060,0.9413671418163476,0.0003230343572795391
61,4061,0.940682854476362,0.0003165830858051777
